TIME_PERIOD,Code,private_debt,household_debt,exchange_rate,Country,GDP,housing_price,policy_rate,Housing_Affordability
2004-03-31,AR,38.0,2.5,217.24,Argentina,118996.8984375,,1.3066666666666666,
2004-06-30,AR,37.2,2.5,226.04,Argentina,117536.703125,,2.1866666666666665,
2004-09-30,AR,36.1,2.6,218.71,Argentina,123438.6015625,,2.5,
2004-12-31,AR,33.7,2.7,212.46,Argentina,125143.1015625,,2.5,
2005-03-31,AR,31.1,2.7,214.4433333333333,Argentina,128751.203125,,2.75,
2005-06-30,AR,29.8,2.8,216.54,Argentina,131763.296875,,3.75,
2005-09-30,AR,28.0,2.9,218.35333333333332,Argentina,132497.296875,,4.25,
2005-12-31,AR,27.0,3.1,213.24666666666667,Argentina,135044.09375,,4.666666666666667,
2006-03-31,AR,26.2,3.2,208.54666666666665,Argentina,138594.296875,,5.0,
2006-06-30,AR,25.4,3.4,209.79666666666665,Argentina,140305.796875,,5.416666666666667,
2006-09-30,AR,24.5,3.5,210.54333333333332,Argentina,144251.09375,,5.75,
2006-12-31,AR,23.7,3.8,213.56000000000003,Argentina,147398.203125,,6.166666666666667,
2007-03-31,AR,22.9,4.0,213.03,Argentina,150863.40625,,7.883333333333333,
2007-06-30,AR,22.1,4.2,208.74,Argentina,153994.796875,,10.296666666666667,
2007-09-30,AR,21.8,4.5,202.75333333333333,Argentina,156110.203125,,10.393333333333333,
2007-12-31,AR,20.8,4.7,196.0533333333333,Argentina,160974.09375,,10.700000000000001,
2008-03-31,AR,19.9,4.7,192.61333333333334,Argentina,162617.0,,11.123333333333335,
2008-06-30,AR,18.6,4.8,190.36333333333334,Argentina,163201.203125,,11.719999999999999,
2008-09-30,AR,18.4,4.7,198.48333333333335,Argentina,164453.09375,,12.219999999999999,
2008-12-31,AR,18.5,4.9,216.74333333333334,Argentina,156904.796875,,12.343333333333334,
2009-03-31,AR,19.0,4.8,208.90666666666667,Argentina,151258.09375,,13.299999999999999,
2009-06-30,AR,19.2,4.8,188.59333333333333,Argentina,147541.59375,,15.049999999999999,
2009-09-30,AR,18.8,4.7,176.37333333333333,Argentina,153518.40625,,13.410000000000002,
2009-12-31,AR,18.0,4.9,173.51333333333332,Argentina,156554.703125,,9.5,
2010-03-31,AR,17.3,4.8,180.00666666666666,Argentina,161419.09375,,9.5,
2010-06-30,AR,16.9,4.7,182.94666666666663,Argentina,168414.90625,,9.5,
2010-09-30,AR,16.5,4.7,181.75,Argentina,169345.0,,9.5,
2010-12-31,AR,16.3,4.8,177.05666666666664,Argentina,171344.703125,,9.5,
2011-03-31,AR,16.0,4.8,174.32333333333335,Argentina,175419.796875,,9.5,
